index,topic_idx
45654,2
45655,3
45656,0
45657,0
45658,3
45659,1
45660,5
45661,3
45662,1
45663,4
45664,6
45665,2
45666,4
45667,2
45668,6
45669,1
45670,6
45671,2
45672,4
45673,4
45674,4
45675,3
45676,4
45677,2
45678,0
45679,3
45680,6
45681,2
45682,5
45683,2
45684,2
45685,6
45686,6
45687,5
45688,2
45689,4
45690,5
45691,4
45692,6
45693,5
45694,5
45695,4
45696,5
45697,3
45698,0
45699,5
45700,3
45701,6
45702,1
45703,1
45704,0
45705,4
45706,6
45707,4
45708,5
45709,0
45710,6
45711,6
45712,3
45713,3
45714,4
45715,4
45716,4
45717,5
45718,3
45719,0
45720,3
45721,5
45722,2
45723,6
45724,2
45725,1
45726,3
45727,3
45728,1
45729,4
45730,1
45731,2
45732,3
45733,3
45734,6
45735,1
45736,5
45737,4
45738,6
45739,5
45740,4
45741,1
45742,6
45743,1
45744,5
45745,5
45746,4
45747,4
45748,6
45749,2
45750,2
45751,1
45752,0
45753,1
45754,5
45755,5
45756,3
45757,6
45758,5
45759,4
45760,3
45761,6
45762,0
45763,3
45764,2
45765,2
45766,2
45767,6
45768,3
45769,5
45770,3
45771,2
45772,0
45773,5
45774,5
45775,6
45776,6
45777,1
45778,2
45779,1
45780,1
45781,4
45782,0
45783,4
45784,0
45785,2
45786,6
45787,4
45788,4
45789,1
45790,4
45791,5
45792,1
45793,0
45794,1
45795,2
45796,3
45797,3
45798,4
45799,2
45800,1
45801,2
45802,3
45803,2
45804,6
45805,2
45806,1
45807,6
45808,6
45809,2
45810,4
45811,2
45812,1
45813,6
45814,1
45815,2
45816,3
45817,5
45818,5
45819,3
45820,6
45821,1
45822,1
45823,2
45824,1
45825,2
45826,6
45827,1
45828,3
45829,4
45830,2
45831,3
45832,6
45833,2
45834,5
45835,1
45836,5
45837,5
45838,5
45839,1
45840,2
45841,2
45842,3
45843,5
45844,2
45845,2
45846,0
45847,1
45848,2
45849,2
45850,6
45851,0
45852,3
45853,0
45854,1
45855,6
45856,4
45857,6
45858,5
45859,3
45860,5
45861,5
45862,3
45863,6
45864,1
45865,1
45866,3
45867,0
45868,1
45869,0
45870,4
45871,0
45872,6
45873,2
45874,4
45875,3
45876,5
45877,1
45878,0
45879,5
45880,0
45881,3
45882,5
45883,1
45884,6
45885,2
45886,2
45887,6
45888,6
45889,4
45890,5
45891,2
45892,5
45893,1
45894,5
45895,5
45896,2
45897,6
45898,0
45899,4
45900,3
45901,4
45902,6
45903,4
45904,2
45905,5
45906,2
45907,5
45908,5
45909,6
45910,5
45911,4
45912,2
45913,4
45914,5
45915,2
45916,2
45917,3
45918,3
45919,2
45920,2
45921,4
45922,5
45923,5
45924,4
45925,2
45926,2
45927,3
45928,6
45929,0
45930,3
45931,6
45932,5
45933,4
45934,6
45935,2
45936,4
45937,4
45938,6
45939,6
45940,3
45941,6
45942,3
45943,2
45944,2
45945,2
45946,0
45947,4
45948,5
45949,6
45950,4
45951,6
45952,3
45953,0
45954,2
45955,6
45956,0
45957,4
45958,6
45959,6
45960,3
45961,2
45962,1
45963,6
45964,4
45965,0
45966,5
45967,1
45968,0
45969,0
45970,2
45971,5
45972,0
45973,6
45974,5
45975,4
45976,0
45977,2
45978,6
45979,2
45980,3
45981,0
45982,6
45983,5
45984,0
45985,6
45986,1
45987,1
45988,6
45989,1
45990,0
45991,6
45992,4
45993,3
45994,3
45995,5
45996,1
45997,3
45998,2
45999,1
46000,6
46001,1
46002,4
46003,1
46004,1
46005,4
46006,6
46007,4
46008,0
46009,2
46010,5
46011,2
46012,6
46013,4
46014,2
46015,0
46016,1
46017,1
46018,4
46019,1
46020,0
46021,2
46022,2
46023,5
46024,0
46025,0
46026,6
46027,2
46028,6
46029,3
46030,6
46031,6
46032,5
46033,4
46034,4
46035,1
46036,2
46037,6
46038,2
46039,0
46040,0
46041,3
46042,5
46043,4
46044,3
46045,5
46046,0
46047,4
46048,4
46049,2
46050,5
46051,2
46052,2
46053,5
46054,4
46055,6
46056,3
46057,4
46058,5
46059,6
46060,4
46061,6
46062,1
46063,5
46064,5
46065,3
46066,5
46067,1
46068,5
46069,6
46070,5
46071,1
46072,5
46073,3
46074,1
46075,5
46076,4
46077,6
46078,6
46079,6
46080,6
46081,2
46082,4
46083,1
46084,6
46085,1
46086,5
46087,1
46088,5
46089,2
46090,5
46091,2
46092,6
46093,2
46094,1
46095,1
46096,5
46097,3
46098,6
46099,2
46100,3
46101,2
46102,3
46103,1
46104,1
46105,3
46106,1
46107,1
46108,0
46109,1
46110,5
46111,2
46112,2
46113,3
46114,5
46115,2
46116,3
46117,2
46118,1
46119,6
46120,1
46121,5
46122,2
46123,0
46124,2
46125,3
46126,3
46127,5
46128,5
46129,4
46130,5
46131,2
46132,0
46133,2
46134,5
46135,2
46136,2
46137,6
46138,6
46139,2
46140,4
46141,6
46142,0
46143,5
46144,4
46145,2
46146,2
46147,3
46148,0
46149,2
46150,6
46151,4
46152,4
46153,6
46154,6
46155,0
46156,5
46157,2
46158,5
46159,2
46160,0
46161,2
46162,0
46163,0
46164,1
46165,0
46166,6
46167,3
46168,6
46169,0
46170,1
46171,1
46172,6
46173,2
46174,1
46175,1
46176,1
46177,2
46178,2
46179,3
46180,6
46181,6
46182,6
46183,2
46184,0
46185,1
46186,1
46187,5
46188,1
46189,6
46190,2
46191,5
46192,6
46193,2
46194,1
46195,4
46196,6
46197,2
46198,4
46199,0
46200,1
46201,5
46202,2
46203,5
46204,6
46205,5
46206,1
46207,6
46208,1
